file_number,annotator_1_seconds,annotator_2_seconds,annotator_3_seconds,reviewer_seconds
W3CN2635-I3CN26530540.jpg,17645,50421,3340,438
W3CN26471-I3CN266090006.jpg,981,639,47141,297
W3CN26578-I3CN269570006.jpg,1181,527,2283,366
W3CN26624-I3CN269720540.jpg,788,911,1540,705
W3CN26726-I4CN128150006.jpg,1682,956,651,291
W3CN2929-I3CN29340634.jpg,25313,8119,878,289
W3CN2954-I3CN29560651.tif,426,492,39653,152
W3CN2987-I3CN30001029.jpg,1469,971,9220,36237
W3CN3014-I3CN4390006.tif,2927,2714,3604,1222
W3CN3014-I3CN4500519.tif,5992,3418,3129,2378
W3CN3015-I3CN4680037.jpg,758,12970,1806,390
W3CN3336-I3CN36241407.tif,438,341,2166,592
W3CN4080-I3CN214880006.jpg,885,2160,54848,1197
W3CN4120-I3CN41340287.jpg,1153,645,958,132
W3CN4137-I3CN41530006.jpg,3425,9659,2929,580
W3CN4268-I3CN42821147.jpg,35356,588,1820,478
W3CN727-I2KG2296381106.jpg,233,1176,426,139
W3CN766-I3CN7740006.jpg,844,3716,907,7381
W3CN800-I3CN8190671.jpg,2233,723,14447,42299
W3CN800-I3CN8250877.jpg,759,2429,11115,55949
W3CN844-I3CN8500006.jpg,37096,775,1314,3210
W3CN844-I3CN8520006.jpg,555,745,1253,4118
W3CN861-I3CN8660883.jpg,546,1327,7263,696
W3CN861-I3CN8690829.jpg,7925,459,1048,387
W3CN861-I3CN8730539.jpg,789,169,9480,180
W3CN9086-I3CN90880006.tif,1937,1075,269,1059
W3JT13584-I3JT135910006.jpg,57597,307,1034,304
W3JT13586-I3JT135950059.tif,4010,800,583,506
W3JT13662-I3JT136700006.jpg,3884,924,9993,456
W3JT13690-I3JT137030006.jpg,4336,4811,536,5065
W3JT13692-I3JT137070006.jpg,4428,1803,1477,241
W3JT13692-I3JT137070155.jpg,527,440,485,441
W3JT13693-I3JT137090006.jpg,558,5526,3459,311
W3JT13695-I3JT137130006.jpg,1248,1007,123663,14469
W3KG123-I3KG4590227.jpg,12650,51390,24074,12564
W3KG162-I3KG5100066.jpg,755,39260,5533,601
W3KG387-I3KG11390212.jpg,638,418,855,5603
W3KG419-I3KG11720006.jpg,1245,806,1563,250
W3KG427-I3KG11800006.jpg,2755,2412,43004,524
W3KG542-I3KG14110426.jpg,579,685,1827,676
W3MS155-I1KG228010381.jpg,560,343,1886,448
W3MS155-I1KG228070006.jpg,562,955,320,214
W3MS155-I1KG228170733.jpg,470,1437,933,1116
W3MS155-I1KG228600249.jpg,493,963,544,422
W3MS155-I1KG228680006.jpg,964,132,1048,4629
W3MS155-I1KG228790006.jpg,3652,861,1610,1127
W3MS155-I1KG228790709.jpg,1079,1811,7758,951
W3MS155-I1KG228810267.jpg,34281,8005,558,554
W3MS261-I3MS3310006.jpg,42995,691,12124,750
W3MS483-I3MS4850147.jpg,638,1335,484,355
W3MS543-I3MS5450007.jpg,1800,1027,138290,68109
W3MS91-I3MS930197.jpg,20620,304,1766,211
W3PD1004-I3PD10630211.jpg,3035,2651,2513,2378
W3PD1004-I3PD10640006.jpg,774,44498,6214,434
W3PD1004-I3PD10640167.jpg,954,615,58656,996
W3PD1004-I3PD10640329.jpg,10469,648,1257,420
W3PD1004-I3PD10660143.jpg,1026,714,18749,787
W3PD431-I3PD4500721.jpg,1030,7045,8661,59529
W3PD446-I2PD171300006.jpg,530,959,765,411
W3PD889-I1KG811990101.jpg,1297,617,11286,2762
W3PD983-I1KG813160006.jpg,1110,32155,2474,843
W3PD988-I3PD12160863.jpg,1408,1292,2406,620
W3PD988-I3PD12290005.jpg,1715,2737,1345,1002
W3PD988-I3PD12811015.jpg,1765,1117,1143,37844
W3PD988-I3PD13310753.jpg,81540,401,1771,77327
W3PD988-I3PD13420699.jpg,581,1326,35721,592
W459-I00KG035470006.tif,527,766,22007,8566
W4CN12077-I4CN120790052.jpg,467,4797,10463,15571
W4CZ15374-I1KG128290661.jpg,914,300,184,321
W4CZ20867-I1KG143790013.jpg,1006,437,13372,275
W4CZ302224-I4CZ3022930007.jpg,453,10607,389,19758
W4CZ302331-I4CZ3023930006.jpg,582,785,14553,20042
W4CZ302336-I4CZ3024030006.jpg,579,60558,561,1306
W4CZ302345-I4CZ3024210006.jpg,692,962,2051,876
W4CZ302380-I4CZ3024910006.jpg,919,383,649,55193
W4CZ302380-I4CZ3024910099.jpg,1015,1112,640,447
W4CZ302383-I4CZ3024970006.jpg,1233,1400,3026,109
W4CZ307384-I4CZ3083100009.jpg,1367,633,2172,5727
W4CZ307384-I4CZ3083100265.jpg,1312,1990,2766,280
W4CZ307384-I4CZ3083100520.jpg,2400,1971,1187,264
W4CZ307400-I4CZ3083440312.jpg,756,775,1828,263
W4CZ307403-I4CZ3083500615.jpg,15030,351,1853,951
W4CZ307405-I4CZ3083540790.jpg,8746,1838,39688,16786
W4CZ307408-I4CZ3083600721.jpg,1424,1725,45189,1000
W4CZ321174-I4CZ3239970006.jpg,8107,60223,5759,619
W4CZ332266-I4CZ3328450006.jpg,1568,968,544,156120
W4CZ332275-I4CZ3328630987.jpg,9271,706,886,493
W4CZ332278-I4CZ3328690006.jpg,412,906,36260,170
W4CZ332278-I4CZ3328700006.jpg,5511,835,2091,3514
W4CZ332377-I4CZ3328770006.jpg,5353,261,1040,296
W4CZ332378-I4CZ3329620006.jpg,60351,335,1057,233
W4CZ346648-I4CZ3544710593.tif,632,614,517,625
W4CZ354412-I4CZ3544790617.tif,6215,696,630,398
